# gene_id: WT
# lambda_bp_mut: 4.731479
# n_trials: 1000
trial_index,aa_mutations
1,5
2,3
3,4
4,5
5,4
6,1
7,3
8,5
9,7
10,4
11,4
12,6
13,4
14,1
15,2
16,2
17,2
18,4
19,2
20,2
21,5
22,6
23,1
24,6
25,4
26,7
27,5
28,1
29,3
30,3
31,4
32,5
33,3
34,3
35,3
36,2
37,1
38,3
39,5
40,1
41,2
42,3
43,1
44,5
45,2
46,2
47,2
48,0
49,6
50,1
51,1
52,6
53,4
54,5
55,3
56,3
57,6
58,2
59,2
60,1
61,0
62,1
63,4
64,2
65,6
66,3
67,5
68,3
69,3
70,4
71,3
72,3
73,6
74,4
75,5
76,5
77,1
78,2
79,3
80,6
81,4
82,3
83,3
84,5
85,4
86,6
87,5
88,2
89,7
90,6
91,5
92,3
93,4
94,2
95,4
96,5
97,2
98,3
99,6
100,2
101,3
102,2
103,0
104,3
105,2
106,6
107,3
108,10
109,2
110,3
111,2
112,2
113,4
114,6
115,6
116,8
117,6
118,3
119,4
120,1
121,4
122,4
123,7
124,2
125,5
126,1
127,3
128,6
129,1
130,2
131,6
132,1
133,2
134,7
135,5
136,7
137,3
138,3
139,4
140,2
141,6
142,3
143,1
144,7
145,1
146,3
147,2
148,3
149,2
150,5
151,2
152,5
153,2
154,6
155,3
156,4
157,9
158,4
159,0
160,1
161,1
162,2
163,6
164,3
165,1
166,4
167,3
168,2
169,2
170,2
171,3
172,3
173,4
174,1
175,5
176,4
177,2
178,6
179,6
180,3
181,3
182,6
183,2
184,2
185,5
186,2
187,7
188,2
189,4
190,7
191,6
192,2
193,1
194,4
195,2
196,2
197,6
198,6
199,1
200,2
201,8
202,4
203,2
204,3
205,6
206,6
207,4
208,2
209,2
210,5
211,5
212,2
213,3
214,4
215,3
216,4
217,3
218,6
219,4
220,3
221,6
222,2
223,4
224,3
225,3
226,4
227,3
228,3
229,2
230,3
231,5
232,2
233,4
234,3
235,2
236,4
237,2
238,4
239,3
240,2
241,3
242,2
243,2
244,3
245,4
246,2
247,2
248,1
249,0
250,2
251,6
252,2
253,4
254,5
255,5
256,7
257,4
258,3
259,5
260,3
261,1
262,5
263,5
264,3
265,4
266,3
267,2
268,5
269,3
270,5
271,4
272,3
273,3
274,3
275,5
276,3
277,4
278,5
279,0
280,3
281,1
282,3
283,5
284,5
285,1
286,5
287,3
288,4
289,5
290,4
291,5
292,6
293,1
294,5
295,4
296,0
297,6
298,4
299,3
300,1
301,4
302,5
303,5
304,5
305,1
306,7
307,2
308,3
309,4
310,1
311,2
312,2
313,4
314,7
315,6
316,2
317,1
318,2
319,1
320,1
321,3
322,7
323,3
324,6
325,2
326,6
327,2
328,4
329,1
330,1
331,4
332,1
333,2
334,3
335,2
336,4
