# plasmid_id: plasmid
# roi_gene_id: WT
# roi_start (1-based): 152
# roi_end (1-based): 718
position,coverage
1,0
2,0
3,0
4,1
5,3
6,18
7,26
8,69
9,192
10,567
11,583
12,583
13,591
14,616
15,623
16,632
17,634
18,637
19,638
20,638
21,640
22,641
23,642
24,642
25,642
26,642
27,642
28,642
29,642
30,642
31,643
32,643
33,643
34,644
35,645
36,645
37,648
38,648
39,648
40,648
41,649
42,649
43,649
44,649
45,649
46,649
47,649
48,649
49,649
50,649
51,649
52,649
53,650
54,650
55,651
56,652
57,652
58,652
59,652
60,652
61,652
62,652
63,651
64,651
65,652
66,652
67,653
68,652
69,652
70,653
71,653
72,653
73,654
74,653
75,653
76,651
77,652
78,653
79,653
80,653
81,653
82,651
83,649
84,649
85,648
86,648
87,648
88,650
89,649
90,647
91,645
92,645
93,645
94,645
95,646
96,645
97,645
98,645
99,645
100,645
101,645
102,645
103,645
104,645
105,645
106,648
107,652
108,654
109,651
110,651
111,651
112,648
113,648
114,648
115,648
116,649
117,648
118,648
119,648
120,649
121,650
122,650
123,650
124,653
125,654
126,654
127,654
128,653
129,653
130,653
131,654
132,654
133,654
134,654
135,654
136,652
137,653
138,653
139,655
140,654
141,654
142,654
143,654
144,654
145,654
146,654
147,655
148,655
149,655
150,655
151,655
152,656
153,656
154,656
155,657
156,657
157,657
158,657
159,657
160,658
161,660
162,662
163,663
164,663
165,663
166,662
167,663
168,664
169,664
170,664
171,665
172,665
173,665
174,665
175,665
176,664
177,664
178,664
179,663
180,663
181,663
182,663
183,662
184,662
185,662
186,661
187,661
188,661
189,661
190,661
191,659
192,657
193,656
194,656
195,655
196,655
197,657
198,657
199,657
200,658
201,657
202,657
203,657
204,659
205,660
206,663
207,662
208,662
209,662
210,662
211,661
212,662
213,663
214,663
215,663
216,663
217,663
218,664
219,663
220,663
221,663
222,663
223,664
224,664
225,664
226,664
227,664
228,664
229,664
230,664
231,664
232,664
233,664
234,664
235,664
236,664
237,664
238,663
239,663
240,663
241,663
242,663
243,663
244,663
245,664
246,663
247,663
248,663
249,663
250,664
251,664
252,664
253,664
254,664
255,664
256,665
257,667
258,667
259,668
260,669
261,669
262,669
263,669
264,668
265,668
266,668
267,668
